2021-11-02 18:17:49 configure gcc-8-base:amd64 8.3.0-6 <none>
2021-11-02 18:17:49 status unpacked gcc-8-base:amd64 8.3.0-6
2021-11-02 18:17:49 status half-configured gcc-8-base:amd64 8.3.0-6
2021-11-02 18:17:49 status installed gcc-8-base:amd64 8.3.0-6
2021-11-02 18:17:49 configure libc6:amd64 2.28-10 <none>
2021-11-02 18:17:49 status unpacked libc6:amd64 2.28-10
2021-11-02 18:17:49 status half-configured libc6:amd64 2.28-10
2021-11-02 18:17:49 status installed libc6:amd64 2.28-10
2021-11-02 18:17:49 configure libudev1:amd64 241-7~deb10u8 <none>
2021-11-02 18:17:49 status unpacked libudev1:amd64 241-7~deb10u8
2021-11-02 18:17:49 status half-configured libudev1:amd64 241-7~deb10u8
2021-11-02 18:17:49 status installed libudev1:amd64 241-7~deb10u8
2021-11-02 18:17:49 configure libsepol1:amd64 2.8-1 <none>
2021-11-02 18:17:49 status unpacked libsepol1:amd64 2.8-1
2021-11-02 18:17:49 status half-configured libsepol1:amd64 2.8-1
2021-11-02 18:17:49 status installed libsepol1:amd64 2.8-1
2021-11-02 18:17:49 configure libattr1:amd64 1:2.4.48-4 <none>
2021-11-02 18:17:49 status unpacked libattr1:amd64 1:2.4.48-4
2021-11-02 18:17:49 status half-configured libattr1:amd64 1:2.4.48-4
2021-11-02 18:17:49 status installed libattr1:amd64 1:2.4.48-4
2021-11-02 18:17:49 configure libtasn1-6:amd64 4.13-3 <none>
2021-11-02 18:17:49 status unpacked libtasn1-6:amd64 4.13-3
2021-11-02 18:17:49 status half-configured libtasn1-6:amd64 4.13-3
2021-11-02 18:17:49 status installed libtasn1-6:amd64 4.13-3
2021-11-02 18:17:49 configure debianutils:amd64 4.8.6.1 <none>
2021-11-02 18:17:49 status unpacked debianutils:amd64 4.8.6.1
2021-11-02 18:17:49 status half-configured debianutils:amd64 4.8.6.1
2021-11-02 18:17:49 status installed debianutils:amd64 4.8.6.1
2021-11-02 18:17:49 configure mawk:amd64 1.3.3-17+b3 <none>
2021-11-02 18:17:49 status unpacked mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:49 status half-configured mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:49 status installed mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:49 configure libdebconfclient0:amd64 0.249 <none>
2021-11-02 18:17:49 status unpacked libdebconfclient0:amd64 0.249
2021-11-02 18:17:49 status half-configured libdebconfclient0:amd64 0.249
2021-11-02 18:17:49 status installed libdebconfclient0:amd64 0.249
2021-11-02 18:17:49 configure base-files:amd64 10.3+deb10u11 <none>
2021-11-02 18:17:49 status unpacked base-files:amd64 10.3+deb10u11
2021-11-02 18:17:49 status half-configured base-files:amd64 10.3+deb10u11
2021-11-02 18:17:49 status installed base-files:amd64 10.3+deb10u11
2021-11-02 18:17:49 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2021-11-02 18:17:49 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
